  Nelder-Mead direct search function minimizer
function value for initial parameters = 0.941879
  Scaled convergence tolerance is 1.40351e-08
Stepsize computed as 6551.200629
REFLECTION       457 0.245335 0.245263
HI-REDUCTION     459 0.245321 0.245263
LO-REDUCTION     461 0.245313 0.245263
LO-REDUCTION     463 0.245301 0.245263
LO-REDUCTION     465 0.245289 0.245263
HI-REDUCTION     467 0.245276 0.245263
LO-REDUCTION     469 0.245273 0.245263
LO-REDUCTION     471 0.245273 0.245263
HI-REDUCTION     473 0.245269 0.245263
EXTENSION        475 0.245269 0.245258
LO-REDUCTION     477 0.245267 0.245258
EXTENSION        479 0.245264 0.245251
LO-REDUCTION     481 0.245263 0.245251
EXTENSION        483 0.245259 0.245236
LO-REDUCTION     485 0.245258 0.245236
LO-REDUCTION     487 0.245254 0.245236
EXTENSION        489 0.245251 0.245230
EXTENSION        491 0.245245 0.245205
LO-REDUCTION     493 0.245237 0.245205
EXTENSION        495 0.245236 0.245181
LO-REDUCTION     497 0.245230 0.245181
EXTENSION        499 0.245209 0.245155
Exiting from Nelder Mead minimizer
    501 function evaluations used
